seed,n_trials,acc,wilson_lo,wilson_hi,mean_len
3,1000,0.308,0.2801657299627953,0.3373037990943787,1.543
0,1000,0.35,0.32106219065138136,0.3800858789245359,1.523
2,1000,0.359,0.3298590732294146,0.3892201121719476,1.521
1,1000,0.323,0.2947413876122796,0.35261333448730275,1.53
6,1000,0.341,0.3122768034224175,0.37094015032805483,1.537
5,1000,0.352,0.3230160671618591,0.3821166948197125,1.554
4,1000,0.328,0.2996075305063683,0.35770892260735015,1.528
11,1000,0.322,0.2937686092185678,0.35159376667818737,1.539
8,1000,0.353,0.3239932175735867,0.3831318906108122,1.553
7,1000,0.351,0.32203905809600525,0.3811013576827392,1.534
13,1000,0.322,0.2937686092185678,0.35159376667818737,1.514
10,1000,0.317,0.2889069882932849,0.3464936565893341,1.542
9,1000,0.382,0.3523909215155227,0.41251222655086556,1.534
12,1000,0.385,0.35533515030579527,0.41554503636907464,1.545
14,1000,0.328,0.2996075305063683,0.35770892260735015,1.528
19,1000,0.365,0.3357299509340308,0.39530331168429467,1.52
17,1000,0.364,0.3347511248747743,0.39428979154072397,1.533
16,1000,0.33,0.3015550314798513,0.3597461140395216,1.538
15,1000,0.326,0.29766062459508447,0.3556711361129795,1.558
21,1000,0.348,0.3191088817410635,0.3780544954291993,1.549
18,1000,0.337,0.3083759318113042,0.3668716371278592,1.493
20,1000,0.344,0.3152039757998436,0.37399001655911024,1.537
24,1000,0.343,0.3142281076483857,0.37297353850774106,1.543
22,1000,0.319,0.29085118095956225,0.34853415632871115,1.523
23,1000,0.321,0.29279598173175475,0.3505740479621731,1.54
26,1000,0.355,0.3259479413468977,0.38516185924315555,1.558
27,1000,0.333,0.30447739268635393,0.3628007914415006,1.532
25,1000,0.343,0.3142281076483857,0.37297353850774106,1.526
28,1000,0.33,0.3015550314798513,0.3597461140395216,1.528
29,1000,0.353,0.3239932175735867,0.3831318906108122,1.532
