alpha,seed,accuracy
0.25,0,0.3346391467918407
0.25,1,0.331601836192317
0.25,2,0.3293411106892624
0.25,3,0.33194698512408105
0.25,4,0.32939288302902703
0.25,5,0.33155006385255237
0.25,6,0.33274082766713836
0.25,7,0.33681358506195425
0.25,8,0.3324129361819625
0.25,9,0.33443205743278226
0.25,10,0.3335001553170193
0.25,11,0.33191247023090464
0.25,12,0.33189521278431644
0.25,13,0.33066993407655404
0.25,14,0.33270631277396195
0.25,15,0.33030752769820176
0.25,16,0.3335519276567839
0.25,17,0.3347944638111345
0.25,18,0.33398336382148897
0.25,19,0.32911676388361577
0.25,20,0.33274082766713836
0.25,21,0.3357608808200739
0.25,22,0.3341041659476064
0.25,23,0.33513961274289855
0.25,24,0.330497359610672
0.25,25,0.3300314085527905
0.25,26,0.3334828978704311
0.25,27,0.33643392123701377
0.25,28,0.3348634935974873
0.25,29,0.3333448382977255
0.125,0,0.3346391467918407
0.125,1,0.331601836192317
0.125,2,0.3293411106892624
0.125,3,0.33194698512408105
0.125,4,0.32939288302902703
0.125,5,0.33155006385255237
0.125,6,0.33274082766713836
0.125,7,0.33681358506195425
0.125,8,0.3324129361819625
0.125,9,0.33443205743278226
0.125,10,0.3335001553170193
0.125,11,0.33191247023090464
0.125,12,0.33189521278431644
0.125,13,0.33066993407655404
0.125,14,0.33270631277396195
0.125,15,0.33030752769820176
0.125,16,0.3335519276567839
0.125,17,0.3347944638111345
0.125,18,0.33398336382148897
0.125,19,0.32911676388361577
0.125,20,0.33274082766713836
0.125,21,0.3357608808200739
0.125,22,0.3341041659476064
0.125,23,0.33513961274289855
0.125,24,0.330497359610672
0.125,25,0.3300314085527905
0.125,26,0.3334828978704311
0.125,27,0.33643392123701377
0.125,28,0.3348634935974873
0.125,29,0.3333448382977255
0.0625,0,0.3346391467918407
0.0625,1,0.331601836192317
0.0625,2,0.3293411106892624
0.0625,3,0.33194698512408105
0.0625,4,0.32939288302902703
0.0625,5,0.33155006385255237
0.0625,6,0.33274082766713836
0.0625,7,0.33681358506195425
0.0625,8,0.3324129361819625
0.0625,9,0.33443205743278226
0.0625,10,0.3335001553170193
0.0625,11,0.33191247023090464
0.0625,12,0.33189521278431644
0.0625,13,0.33066993407655404
0.0625,14,0.33270631277396195
0.0625,15,0.33030752769820176
0.0625,16,0.3335519276567839
0.0625,17,0.3347944638111345
0.0625,18,0.33398336382148897
0.0625,19,0.32911676388361577
0.0625,20,0.33274082766713836
0.0625,21,0.3357608808200739
0.0625,22,0.3341041659476064
0.0625,23,0.33513961274289855
0.0625,24,0.330497359610672
0.0625,25,0.3300314085527905
0.0625,26,0.3334828978704311
0.0625,27,0.33643392123701377
0.0625,28,0.3348634935974873
0.0625,29,0.3333448382977255
