alpha,lambda,Accuracy,LogLik,Length
0.25,0.0,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.25,0.05,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.25,0.1,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.125,0.0,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.125,0.05,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.125,0.1,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.0625,0.0,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.0625,0.05,0.33279029901402457,-1.0986122886680403,2.7404997756531944
0.0625,0.1,0.33279029901402457,-1.0986122886680403,2.7404997756531944
